Maricopa County Block Groups GEO_ID,Geographic Area Name,Total,White,Black,Latitutde,Longitude,Native American,Asian,Pacific Islander,Other,Two Race
040136143001,"Block Group 1, Census Tract 6143, Maricopa County, Arizona",1056,893,15,33.675457,-112.172327,9,109,0,18,12
040136143002,"Block Group 2, Census Tract 6143, Maricopa County, Arizona",1165,1018,18,33.677814,-112.179628,6,78,1,15,29
040136143003,"Block Group 3, Census Tract 6143, Maricopa County, Arizona",903,780,20,33.672856,-112.182885,7,45,0,31,20
040136144001,"Block Group 1, Census Tract 6144, Maricopa County, Arizona",1099,952,13,33.682368,-112.138716,14,17,6,48,49
040136144002,"Block Group 2, Census Tract 6144, Maricopa County, Arizona",1335,1195,31,33.674486,-112.146282,6,39,0,34,30
040136144003,"Block Group 3, Census Tract 6144, Maricopa County, Arizona",1133,1035,16,33.674829,-112.139392,9,9,2,40,22
040136145001,"Block Group 1, Census Tract 6145, Maricopa County, Arizona",967,783,36,33.688733,-112.123333,16,33,3,69,27
040136145002,"Block Group 2, Census Tract 6145, Maricopa County, Arizona",1598,1391,30,33.687524,-112.129688,9,58,1,69,40
040136145003,"Block Group 3, Census Tract 6145, Maricopa County, Arizona",497,307,8,33.686498,-112.115857,9,3,0,158,12
040136145004,"Block Group 4, Census Tract 6145, Maricopa County, Arizona",1594,1246,19,33.694077,-112.126592,9,81,2,176,61
040136146001,"Block Group 1, Census Tract 6146, Maricopa County, Arizona",1168,999,29,33.675768,-112.128437,16,52,1,38,33
040136146002,"Block Group 2, Census Tract 6146, Maricopa County, Arizona",1320,1175,29,33.679333,-112.131954,6,35,2,50,23
040136146003,"Block Group 3, Census Tract 6146, Maricopa County, Arizona",1054,955,19,33.674031,-112.125297,9,18,3,28,22
040136146004,"Block Group 4, Census Tract 6146, Maricopa County, Arizona",791,559,57,33.671264,-112.127235,27,86,4,38,20
040136146005,"Block Group 5, Census Tract 6146, Maricopa County, Arizona",1278,1001,43,33.681432,-112.122432,42,37,6,76,73
040136146006,"Block Group 6, Census Tract 6146, Maricopa County, Arizona",1017,690,74,33.674503,-112.119174,29,124,8,66,26
040136147001,"Block Group 1, Census Tract 6147, Maricopa County, Arizona",279,269,1,33.69354,-112.111185,3,2,0,1,3
040136147002,"Block Group 2, Census Tract 6147, Maricopa County, Arizona",1052,666,104,33.67875,-112.109961,41,12,12,164,53
040136147003,"Block Group 3, Census Tract 6147, Maricopa County, Arizona",1281,995,44,33.672206,-112.106588,12,99,2,82,47
040136148001,"Block Group 1, Census Tract 6148, Maricopa County, Arizona",1191,915,34,33.672595,-112.096326,17,160,0,34,31
040136148002,"Block Group 2, Census Tract 6148, Maricopa County, Arizona",1589,1347,15,33.673354,-112.087567,33,23,0,118,53
040136148003,"Block Group 3, Census Tract 6148, Maricopa County, Arizona",1374,1179,29,33.673297,-112.079261,20,16,1,78,51
040136149001,"Block Group 1, Census Tract 6149, Maricopa County, Arizona",1343,1132,48,33.674724,-112.059234,4,62,2,33,62
040136149002,"Block Group 2, Census Tract 6149, Maricopa County, Arizona",1420,1320,12,33.675609,-112.042703,8,30,6,13,31
040136149003,"Block Group 3, Census Tract 6149, Maricopa County, Arizona",732,597,26,33.67147,-112.063072,4,48,2,14,41
040136150001,"Block Group 1, Census Tract 6150, Maricopa County, Arizona",2143,1816,45,33.67875,-112.007215,3,167,0,32,80
040136150002,"Block Group 2, Census Tract 6150, Maricopa County, Arizona",3818,3289,58,33.692135,-111.996177,6,345,0,33,87
040136150003,"Block Group 3, Census Tract 6150, Maricopa County, Arizona",669,567,37,33.675003,-111.981905,10,30,0,9,16
040136151001,"Block Group 1, Census Tract 6151, Maricopa County, Arizona",1597,1437,25,33.685606,-111.982419,4,71,0,13,47
040136151002,"Block Group 2, Census Tract 6151, Maricopa County, Arizona",1786,1633,18,33.690755,-111.97718,5,94,3,13,20
040136152001,"Block Group 1, Census Tract 6152, Maricopa County, Arizona",2546,2047,124,33.650077,-111.938527,25,185,5,76,84
040136152002,"Block Group 2, Census Tract 6152, Maricopa County, Arizona",2014,1832,39,33.687106,-111.962041,7,75,0,23,38
040136152003,"Block Group 3, Census Tract 6152, Maricopa County, Arizona",826,757,10,33.687803,-111.971339,2,33,0,6,18
040136153001,"Block Group 1, Census Tract 6153, Maricopa County, Arizona",2259,2116,9,33.658989,-112.294716,17,17,0,73,27
040136154001,"Block Group 1, Census Tract 6154, Maricopa County, Arizona",973,952,7,33.660275,-112.276244,3,2,0,3,6
040136154002,"Block Group 2, Census Tract 6154, Maricopa County, Arizona",1706,1663,11,33.65898,-112.284123,5,8,1,4,14
040136155001,"Block Group 1, Census Tract 6155, Maricopa County, Arizona",1272,1251,9,33.656828,-112.260119,1,6,1,1,3
040136155002,"Block Group 2, Census Tract 6155, Maricopa County, Arizona",813,790,11,33.663974,-112.262893,1,5,0,2,4
040136155003,"Block Group 3, Census Tract 6155, Maricopa County, Arizona",732,712,13,33.660034,-112.270423,0,2,0,1,4
040136156001,"Block Group 1, Census Tract 6156, Maricopa County, Arizona",772,757,7,33.656794,-112.251589,1,4,0,2,1
040136156002,"Block Group 2, Census Tract 6156, Maricopa County, Arizona",1733,1491,65,33.660666,-112.237404,3,49,4,47,74
040136156003,"Block Group 3, Census Tract 6156, Maricopa County, Arizona",1271,1231,8,33.663686,-112.246994,2,10,1,13,6
040136157001,"Block Group 1, Census Tract 6157, Maricopa County, Arizona",1409,1280,29,33.661738,-112.225516,6,45,0,21,28
040136157002,"Block Group 2, Census Tract 6157, Maricopa County, Arizona",1582,1385,53,33.656736,-112.225118,12,57,0,43,32
040136158001,"Block Group 1, Census Tract 6158, Maricopa County, Arizona",1131,1030,14,33.6565,-112.215883,5,29,0,28,25
040136158002,"Block Group 2, Census Tract 6158, Maricopa County, Arizona",2389,2083,75,33.663602,-112.212247,10,107,1,47,66
040136158003,"Block Group 3, Census Tract 6158, Maricopa County, Arizona",1386,1226,35,33.656883,-112.207017,4,66,0,37,18
040136159001,"Block Group 1, Census Tract 6159, Maricopa County, Arizona",1553,1371,28,33.662763,-112.198962,8,70,0,40,36
040136159002,"Block Group 2, Census Tract 6159, Maricopa County, Arizona",1294,1006,49,33.664335,-112.191061,7,141,1,27,63
040136159003,"Block Group 3, Census Tract 6159, Maricopa County, Arizona",1515,1289,44,33.658391,-112.190459,2,118,0,39,23
040136160001,"Block Group 1, Census Tract 6160, Maricopa County, Arizona",1235,1048,17,33.660268,-112.173172,8,71,5,40,46
040136160002,"Block Group 2, Census Tract 6160, Maricopa County, Arizona",1002,749,29,33.665396,-112.178424,3,182,3,16,20
040136161001,"Block Group 1, Census Tract 6161, Maricopa County, Arizona",1143,955,33,33.664788,-112.166569,6,36,1,60,52
040136161002,"Block Group 2, Census Tract 6161, Maricopa County, Arizona",1458,1291,22,33.66397,-112.157338,9,34,2,56,44
040136161003,"Block Group 3, Census Tract 6161, Maricopa County, Arizona",971,829,53,33.667463,-112.159134,13,25,2,10,39
040136162001,"Block Group 1, Census Tract 6162, Maricopa County, Arizona",1614,1403,57,33.658341,-112.165034,9,70,4,37,34
040136162002,"Block Group 2, Census Tract 6162, Maricopa County, Arizona",1605,1406,41,33.658225,-112.156497,4,18,1,95,40
040136163001,"Block Group 1, Census Tract 6163, Maricopa County, Arizona",2044,1736,44,33.66263,-112.143968,14,80,0,94,76
040136164001,"Block Group 1, Census Tract 6164, Maricopa County, Arizona",1295,1132,22,33.659878,-112.132261,5,18,0,77,41
040136164002,"Block Group 2, Census Tract 6164, Maricopa County, Arizona",549,530,6,33.656962,-112.118514,2,2,0,1,8
040136164003,"Block Group 3, Census Tract 6164, Maricopa County, Arizona",2078,833,77,33.665758,-112.120865,23,1026,7,69,43
040136164004,"Block Group 4, Census Tract 6164, Maricopa County, Arizona",1165,1051,8,33.658742,-112.126732,3,26,2,42,33
040136164005,"Block Group 5, Census Tract 6164, Maricopa County, Arizona",614,507,23,33.661506,-112.121059,1,41,0,15,27
040136165001,"Block Group 1, Census Tract 6165, Maricopa County, Arizona",973,737,21,33.665664,-112.106382,10,93,7,80,25
040136165002,"Block Group 2, Census Tract 6165, Maricopa County, Arizona",935,598,86,33.664867,-112.110763,28,27,3,137,56
040136165003,"Block Group 3, Census Tract 6165, Maricopa County, Arizona",1530,1250,38,33.658366,-112.104143,20,19,8,152,43
040136166001,"Block Group 1, Census Tract 6166, Maricopa County, Arizona",1426,1109,23,33.665756,-112.095622,28,23,2,181,60
040136166002,"Block Group 2, Census Tract 6166, Maricopa County, Arizona",1541,1273,25,33.658302,-112.095663,32,22,1,154,34
040136166003,"Block Group 3, Census Tract 6166, Maricopa County, Arizona",1153,936,34,33.664894,-112.087113,17,28,3,99,36
